"species","decimalLatitude","decimalLongitude"
"238","Mesophyllum erubescens",-17.9625,-38.695278
"239","Mesophyllum erubescens",-20.525278,-29.310278
"240","Mesophyllum erubescens",-3.815833,-32.393333
"241","Mesophyllum erubescens",-3.841111,-32.3925
"242","Mesophyllum erubescens",-12.966944,-38.370278
"243","Mesophyllum erubescens",NA,NA
"244","Mesophyllum erubescens",NA,NA
"245","Mesophyllum erubescens",NA,NA
"246","Mesophyllum erubescens",NA,NA
"247","Mesophyllum erubescens",NA,NA
"248","Mesophyllum erubescens",NA,NA
"249","Mesophyllum erubescens",NA,NA
"250","Mesophyllum erubescens",NA,NA
"251","Mesophyllum erubescens",NA,NA
"252","Mesophyllum erubescens",NA,NA
"253","Mesophyllum erubescens",0,0
"254","Mesophyllum erubescens",0,0
"255","Mesophyllum erubescens",0,0
"256","Mesophyllum erubescens",0,0
"257","Mesophyllum erubescens",0,0
"258","Mesophyllum erubescens",0,0
"259","Mesophyllum erubescens",-27.266667,-48.366667
"260","Mesophyllum erubescens",-27.266667,-48.366667
"261","Mesophyllum erubescens",NA,NA
"262","Mesophyllum erubescens",-27.266667,-48.366667
"263","Mesophyllum erubescens",-3.566667,-38.4
"264","Mesophyllum erubescens",-20.5,-29.316667
"265","Mesophyllum erubescens",NA,NA
"266","Mesophyllum erubescens",-24.466667,-46.666667
"267","Mesophyllum erubescens",-3.833333,-32.416667
"268","Mesophyllum erubescens",-27.266667,-48.366667
"269","Mesophyllum erubescens",-20.5,-29.316667
"270","Mesophyllum erubescens",-20.666667,-40.366667
"271","Mesophyllum erubescens",-20.5,-29.316667
"272","Mesophyllum erubescens",-24.466667,-46.666667
"273","Mesophyllum erubescens",-27.266667,-48.366667
"274","Mesophyllum erubescens",-27.266667,-48.366667
"275","Mesophyllum erubescens",-23.533333,-45.016667
"276","Mesophyllum erubescens",-20.666667,-40.366667
"277","Mesophyllum erubescens",-3.833333,-32.416667
"278","Mesophyllum erubescens",-20.5,-29.316667
"279","Mesophyllum erubescens",-20.5,-29.316667
"280","Mesophyllum erubescens",-20.666667,-40.366667
"281","Mesophyllum erubescens",-20.666667,-44.4
"282","Mesophyllum erubescens",NA,NA
"283","Mesophyllum erubescens",NA,NA
"284","Mesophyllum erubescens",-3.833333,-32.416667
"285","Mesophyllum erubescens",-20.666667,-40.366667
"286","Mesophyllum erubescens",NA,NA
"287","Mesophyllum erubescens",-24.466667,-46.666667
"288","Mesophyllum erubescens",NA,NA
"289","Mesophyllum erubescens",NA,NA
"290","Mesophyllum erubescens",NA,NA
"291","Mesophyllum erubescens",NA,NA
"292","Mesophyllum erubescens",NA,NA
"293","Mesophyllum erubescens",NA,NA
"294","Mesophyllum erubescens",NA,NA
"295","Mesophyllum erubescens",-11.833333,96.85
"296","Mesophyllum erubescens",NA,NA
"297","Mesophyllum erubescens",NA,NA
"298","Mesophyllum erubescens",NA,NA
"299","Mesophyllum erubescens",NA,NA
"300","Mesophyllum erubescens",NA,NA
"301","Mesophyllum erubescens",NA,NA
"302","Mesophyllum erubescens",NA,NA
"303","Mesophyllum erubescens",NA,NA
"304","Mesophyllum erubescens",NA,NA
"305","Mesophyllum erubescens",NA,NA
"306","Mesophyllum erubescens",NA,NA
"307","Mesophyllum erubescens",NA,NA
"308","Mesophyllum erubescens",NA,NA
"309","Mesophyllum erubescens",NA,NA
"310","Mesophyllum erubescens",NA,NA
"311","Mesophyllum erubescens",-38.3,144.6167
"312","Mesophyllum erubescens",-38.3,144.6167
"313","Mesophyllum erubescens",-38.4167,144.1667
"314","Mesophyllum erubescens",-38.4167,144.1667
"315","Mesophyllum erubescens",-38.3667,142.25
"316","Mesophyllum erubescens",-14.6459,145.4534
"317","Mesophyllum erubescens",-14.6459,145.4534
"318","Mesophyllum erubescens",21.5576,-157.856
"319","Mesophyllum erubescens",20.9145,-156.9
"320","Mesophyllum erubescens",34.68,138.2
